full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"175 Varick St, New York, NY 10014,",Dunkin',10112,3,58,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',10474,5,1,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11210,2,20,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11224,2,22,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11229,2.5,28,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11355,2.5,17,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11357,3.5,11,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11366,2,48,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11368,2.5,10,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11378,1.5,15,1,DD
"175 Varick St, New York, NY 10014,",Dunkin',11542,2.5,15,1,DD
"1752 Crosby Ave, Bronx, NY 10461,",Dunkin',10461,3.5,13,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10003,2,29,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10006,2.5,3,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10009,2,20,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10019,3,24,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10021,2.5,27,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10022,2.5,27,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10023,2.5,22,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10024,2.5,29,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10065,2,23,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',10459,4,2,1,DD
"1755 Francis Lewis Blvd, Whitestone, NY 11357,",Dunkin',11104,2.5,19,1,DD
