id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address,borough,price_num
yXdw3AZIp1Rk9ps2iqsFyw,simon-sips-new-york-4,Simon Sips,https://s3-media1.fl.yelpcdn.com/bphoto/tHIFdXUumjundU4J2j44rw/o.jpg,FALSE,https://www.yelp.com/biz/simon-sips-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,205,4.5,40.75791,-73.9825,character(0),$$,406.716024556705,1185 Ave Of The Americas,New York,NY,10036,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,2
ZWX1wn-am6seAWkDCbkIxw,ground-central-new-york-4,Ground Central,https://s3-media2.fl.yelpcdn.com/bphoto/7X7pdjIGm20IbkdkIwaUTg/o.jpg,FALSE,https://www.yelp.com/biz/ground-central-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,207,4.5,40.763761,-73.984691,character(0),$,653.699782242037,888 8th Ave,New York,NY,10019,"coffee, Coffee & Tea,","54 W 40th St, New York, NY 10018,",Manhattan,1
J4UF6byGVD4cf5R1hyMIxw,yanni-s-coffee-new-york,Yanni’s Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/r5eg-l-Pfcs_bWhx5b-3gA/o.jpg,FALSE,https://www.yelp.com/biz/yanni-s-coffee-new-york?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,66,5,40.7397792,-73.9989726,character(0),$,2854.05896331521,96 7th Ave,New York,NY,10011,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,1
G5JtJcFcYD93tS8RHw60_g,gregorys-coffee-new-york-4,Gregorys Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/gvsOhPbGfzLc7P3hhG8d-Q/o.jpg,FALSE,https://www.yelp.com/biz/gregorys-coffee-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,252,4,40.75554,-73.9781,"c(""delivery"", ""pickup"")",$$,530.055169089896,12 E 46th St,New York,NY,10017,"coffee, Coffee & Tea,","12 E 46th St, New York, NY 10017,",Manhattan,2
rr0toD595TOxa5j8zyy_8Q,gregorys-coffee-new-york-31,Gregorys Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/_1AMYeRhJZNuqDVIsILK9Q/o.jpg,FALSE,https://www.yelp.com/biz/gregorys-coffee-new-york-31?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,43,4.5,40.7540817260742,-73.9734878540039,"c(""delivery"", ""pickup"")",$$,802.086663754069,485 Lexington Ave,New York,NY,10017,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,2
s6NjuiNtX0HU3viSNAm6ug,bluestone-lane-new-york-21,Bluestone Lane,https://s3-media3.fl.yelpcdn.com/bphoto/x7t6PPI9u9bMfR3pP2OorQ/o.jpg,FALSE,https://www.yelp.com/biz/bluestone-lane-new-york-21?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,107,4,40.756538,-73.989889,character(0),$$,1042.72580020804,11 Times Square,New York,NY,10036,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,2
U1sKlVRKlWPXQGiFU09Ydg,ninth-street-espresso-new-york-8,Ninth Street Espresso,https://s3-media4.fl.yelpcdn.com/bphoto/Dv8qqlmjvc7RX89uLkR0Kw/o.jpg,FALSE,https://www.yelp.com/biz/ninth-street-espresso-new-york-8?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,118,4,40.76081,-73.97034,character(0),$,664.410876082459,109 E 56th St,New York,NY,10022,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,1
6tMsMwFFnmuEOKASzpWmwA,variety-coffee-roasters-new-york-5,Variety Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/sZVhWer4HSGfYLEfnoSsZA/o.jpg,FALSE,https://www.yelp.com/biz/variety-coffee-roasters-new-york-5?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,118,4.5,40.7452852,-73.9947651,character(0),$,2152.4319966228,261 7th Ave,New York,NY,10001,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,1
JylIStPfFLOctHdlglvALA,ut47-new-york-3,UT47,https://s3-media1.fl.yelpcdn.com/bphoto/baISEeZ2LeDBq6Ey972Rdg/o.jpg,FALSE,https://www.yelp.com/biz/ut47-new-york-3?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,219,4,40.7613128165844,-73.9899748563766,character(0),$,974.103787830253,358 W 47th St,New York,NY,10036,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,1
IauhGeFdmR1vM1_m3o9wiQ,zibetto-espresso-bar-new-york-4,Zibetto Espresso Bar,https://s3-media1.fl.yelpcdn.com/bphoto/jc-k0dwgT8CUWOz1hhXr-Q/o.jpg,FALSE,https://www.yelp.com/biz/zibetto-espresso-bar-new-york-4?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,82,4,40.75937,-73.98209,"c(""delivery"", ""pickup"")",$,326.072276466329,1221 Avenue Of The Americas,New York,NY,10020,"cafes, coffee, Cafes, Coffee & Tea,","96 7th Ave, New York, NY 10011,",Manhattan,1
