ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10034,46763,22649,24114,34669,7956,2053,0,1042,12234,7226,48.43359065928191,74.13767294656031,17.01345080512371,4.390223039582576,0,2.2282573829737187,26.16170904347454,15.452387571370526
10035,62345,30139,32206,26257,7132,23867,51,3227,22791,6840,48.342288876413505,42.1156468040741,11.439570133932152,38.28213970647205,0.08180287112037854,5.176036570695324,36.55625952361857,10.971208597321356
10036,38036,21503,16533,8574,19733,2541,19,6312,5488,2531,56.533284257019666,22.541802502891997,51.87979808602377,6.680513198022926,0.049952676411820385,16.594804921653168,14.428436218319488,6.654222315700915
10037,54422,25523,28899,12916,4674,33531,122,1516,15960,7397,46.89831318216898,23.73304913454118,8.588438499136378,61.61295064495976,0.22417404726029913,2.7856381610378156,29.326375362904706,13.59192973429863
10038,44669,21952,22717,4622,15998,2355,484,19998,8798,3119,49.1437014484318,10.347220667577067,35.814547001276054,5.272112650831673,1.083525487474535,44.769303096106924,19.695986030580492,6.982471064944369
10039,46042,20867,25175,15235,4191,24586,188,737,12959,8304,45.32166282959037,33.089353199252855,9.102558533512878,53.39907041396985,0.40832283567177796,1.6007123930324485,28.14604057165197,18.03570652882151
10040,75427,36344,39083,52126,16432,3780,52,2049,16364,9821,48.18433717369112,69.1078791414215,21.785302345314012,5.011468041947843,0.06894083020668991,2.716533867182839,21.695148951966804,13.020536412690417
10041,1626,946,680,133,1210,29,0,207,98,46,58.17958179581796,8.179581795817958,74.41574415744158,1.7835178351783518,0,12.730627306273062,6.027060270602706,2.8290282902829027
10043,8794,4214,4580,580,6094,211,0,1803,932,387,47.91903570616329,6.595405958608142,69.29724812372072,2.3993632021833067,0,20.502615419604275,10.598135092108256,4.400727768933364
10044,11783,5606,6177,1721,5080,1646,0,2903,1392,647,47.577017737418316,14.605787999660528,43.11295934821352,13.969277773062888,0,24.637189170839342,11.81362980565221,5.490961554782314
10045,7378,3664,3714,428,4862,288,37,1608,612,258,49.66115478449444,5.801030089455137,65.89861751152074,3.9034968826240175,0.5014909189482245,21.79452426131743,8.294930875576037,3.4968826240173487
10055,258,150,108,8,213,1,25,11,21,0,58.139534883720934,3.10077519379845,82.55813953488372,0.3875968992248062,9.689922480620156,4.263565891472868,8.13953488372093,0
10065,34220,15102,19118,1764,28114,983,35,2813,1821,1365,44.13208649912332,5.154880187025132,82.15663354763296,2.8725891291642314,0.10227936879018118,8.220338983050848,5.321449444769141,3.9888953828170663
10069,26752,11745,15007,2825,19090,1043,0,2927,3221,1344,43.90325956937799,10.559958133971293,71.35915071770334,3.898773923444976,0,10.941238038277511,12.040221291866029,5.023923444976076
10075,72466,31140,41326,4723,61193,707,36,4053,5150,3325,42.97187646620484,6.517539259790799,84.44373913283471,0.9756299505975217,0.049678469903126986,5.592967736593713,7.106781111141777,4.588358678552701
10080,8875,4467,4408,666,6195,124,0,1411,382,240,50.332394366197185,7.504225352112676,69.80281690140845,1.3971830985915492,0,15.898591549295773,4.3042253521126765,2.704225352112676
10081,8794,4214,4580,580,6094,211,0,1803,932,387,47.91903570616329,6.595405958608142,69.29724812372072,2.3993632021833067,0,20.502615419604275,10.598135092108256,4.400727768933364
10101,4858,2572,2286,1108,2725,194,15,729,704,384,52.943598188554965,22.807739810621655,56.093042404281604,3.993412927130506,0.3087690407575134,15.00617538081515,14.491560312885962,7.904487443392343
10103,982,448,534,70,715,22,0,175,78,61,45.621181262729124,7.128309572301425,72.81059063136456,2.240325865580448,0,17.820773930753564,7.942973523421588,6.211812627291242
10104,982,448,534,70,715,22,0,175,78,61,45.621181262729124,7.128309572301425,72.81059063136456,2.240325865580448,0,17.820773930753564,7.942973523421588,6.211812627291242
10105,6698,2994,3704,322,5090,67,20,1125,563,301,44.6999104210212,4.80740519558077,75.99283368169603,1.0002985965959987,0.2985965959988056,16.796058524932818,8.405494177366378,4.493878769782024
10106,6698,2994,3704,322,5090,67,20,1125,563,301,44.6999104210212,4.80740519558077,75.99283368169603,1.0002985965959987,0.2985965959988056,16.796058524932818,8.405494177366378,4.493878769782024
10107,14950,6908,8042,1139,10644,529,20,2074,1165,771,46.207357859531776,7.618729096989966,71.19732441471572,3.5384615384615383,0.13377926421404682,13.872909698996654,7.792642140468227,5.157190635451505
10108,3035,1808,1227,713,1229,300,0,698,571,234,59.57166392092257,23.492586490939043,40.494233937397034,9.884678747940692,0,22.99835255354201,18.813838550247116,7.71004942339374
10110,149,87,62,7,82,0,12,48,12,6,58.38926174496645,4.697986577181208,55.033557046979865,0,8.053691275167784,32.21476510067114,8.053691275167784,4.026845637583892
10111,982,448,534,70,715,22,0,175,78,61,45.621181262729124,7.128309572301425,72.81059063136456,2.240325865580448,0,17.820773930753564,7.942973523421588,6.211812627291242
10112,982,448,534,70,715,22,0,175,78,61,45.621181262729124,7.128309572301425,72.81059063136456,2.240325865580448,0,17.820773930753564,7.942973523421588,6.211812627291242
10113,7159,3829,3330,881,5305,57,0,687,329,344,53.4851236206174,12.306188015085906,74.10252828607348,0.7962005866741164,0,9.596312334124878,4.59561391255762,4.8051403827350185
