full_address,name,zip_code,borough,ave_rating,ave_review_count,num,NAME
"1482 1st Ave, New York, NY 10075,",Dunkin',10027,Brooklyn,4.5,4,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10028,Brooklyn,2.5,11,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10029,Brooklyn,3.5,3,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10128,Brooklyn,2.5,27,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10472,Brooklyn,4.5,2,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',10705,Brooklyn,2,1,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11021,Brooklyn,2.5,17,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11105,Brooklyn,3.5,19,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11214,Brooklyn,2.5,30,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11217,Brooklyn,3,2,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11220,Brooklyn,2,20,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11226,Brooklyn,2,18,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11230,Brooklyn,2.5,3,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11235,Brooklyn,2,5,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11360,Brooklyn,2,13,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11364,Brooklyn,2.5,34,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11367,Brooklyn,2,37,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11370,Brooklyn,2,23,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11374,Brooklyn,2,36,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11379,Brooklyn,2.5,17,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11385,Brooklyn,2.5,16,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11430,Brooklyn,1.5,32,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11434,Brooklyn,2.5,9,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11530,Brooklyn,2,6,1,DD
"1482 1st Ave, New York, NY 10075,",Dunkin',11590,Brooklyn,3,28,1,DD
"15029 Cross Bay Blvd, Ste 4, Jamica, NY 11417,",Dunkin Donuts,11417,Brooklyn,2.5,4,1,DD
"1510 86th St, Brooklyn, NY 11228,",Dunkin',11228,Brooklyn,2,17,1,DD
"153 West 36th St, New York, NY 10018,",Dunkin',10018,Brooklyn,2,9,1,DD
"1556 Ralph Ave, Brooklyn, NY 11236,",Dunkin',11236,Brooklyn,3.5,7,1,DD
"1575 Flatbush Ave, Brooklyn, NY 11210,",Dunkin',11210,Brooklyn,2.5,18,1,DD
"159 Pine Hollow Rd, Oyster Bay, NY 11771,",Dunkin',11771,Brooklyn,2,18,1,DD
"159-02 Jamaica Ave, Jamaica, NY 11425,",Dunkin',11425,Brooklyn,2,5,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10001,Brooklyn,2.5,12,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10010,Brooklyn,2,28,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10027,Brooklyn,2,13,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10031,Brooklyn,3.5,17,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10032,Brooklyn,3,21,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10036,Brooklyn,3.5,53,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10038,Brooklyn,2.5,3,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10128,Brooklyn,2,29,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10543,Brooklyn,4,6,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',10801,Brooklyn,3.5,12,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11040,Brooklyn,4,16,1,DD
"1600 Hillside Ave, New Hyde Park, NY 11040,",Dunkin',11102,Brooklyn,2,5,1,DD
